BillingAccountId,BillingAccountName,BillingPeriodStartDate,BillingPeriodEndDate,BillingProfileId,BillingProfileName,AccountOwnerId,AccountName,SubscriptionId,SubscriptionName,Date,Product,PartNumber,MeterId,ServiceFamily,MeterCategory,MeterSubCategory,MeterRegion,MeterName,Quantity,EffectivePrice,Cost,UnitPrice,BillingCurrency,ResourceLocation,AvailabilityZone,ConsumedService,ResourceId,ResourceName,ServiceInfo1,ServiceInfo2,AdditionalInfo,Tags,InvoiceSectionId,InvoiceSection,CostCenter,UnitOfMeasure,ResourceGroup,ReservationId,ReservationName,ProductOrderId,ProductOrderName,OfferId,IsAzureCreditEligible,Term,PublisherName,PlanName,ChargeType,Frequency,PublisherType
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,d3713cb6-28b4-47ee-a888-8ac0bf3ed52f,openai-手表事业部,11/16/2023,Azure OpenAI - GPT-35-turbo-4k-Completion Tokens,AAN-83431,5a67ca49-3dc8-50ac-aac5-cf28053d68d5,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-4k-Completion Tokens,172.899,0.013703,2.369234997,0.013703,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/d3713cb6-28b4-47ee-a888-8ac0bf3ed52f/resourceGroups/test/providers/Microsoft.CognitiveServices/accounts/watch-test,watch-test,,,,"""watch-test"": ""watch-test"",""deployment"": ""tc_gpt3_0613""",,Unassigned,,1K,test,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-4k-Completion,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,492e41e9-7098-4775-9061-584fa29f77ee,openai-流程it,11/16/2023,Azure OpenAI - Image-DALL-E Images - Preview,AAN-06952,e5c4d599-01cb-52f3-8421-b4ecffd03480,Compute,Cognitive Services,Azure OpenAI,,Image-DALL-E Images,0.02,13.703,0.27406,13.703,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/492e41e9-7098-4775-9061-584fa29f77ee/resourceGroups/AI小助手/providers/Microsoft.CognitiveServices/accounts/ai-bot,ai-bot,,,,,,Unassigned,,100,AI小助手,,,,,MS-AZR-0017P,True,,Microsoft,Image-DALL-E,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,492e41e9-7098-4775-9061-584fa29f77ee,openai-流程it,11/16/2023,Azure OpenAI - GPT-35-turbo-16k-Completion Tokens,AAN-83433,226a97e8-c538-5e95-932a-359e9a0f3ad1,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-16k-Completion Tokens,92.083,0.027407,2.523718781,0.027407,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/492e41e9-7098-4775-9061-584fa29f77ee/resourceGroups/AI小助手/providers/Microsoft.CognitiveServices/accounts/ai-bot,ai-bot,,,,"""deployment"": ""chat""",,Unassigned,,1K,AI小助手,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-16k-Completion,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,4b284c41-e536-4e77-a856-969f82433c73,openai-教育电子,11/16/2023,Azure OpenAI - GPT4-8K-Prompt Tokens,AAN-79985,3fd3901c-261b-5daf-95f2-6d18415587f6,Compute,Cognitive Services,Azure OpenAI,,GPT4-8K-Prompt Tokens,25.338,0.20555,5.2082259,0.20555,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/4b284c41-e536-4e77-a856-969f82433c73/resourceGroups/GPT/providers/Microsoft.CognitiveServices/accounts/eebbk-GPT-model,eebbk-GPT-model,,,,"""deployment"": ""GPT4-001""",,Unassigned,,1K,GPT,,,,,MS-AZR-0017P,True,,Microsoft,GPT4-8K-Prompt,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,4b284c41-e536-4e77-a856-969f82433c73,openai-教育电子,11/16/2023,Azure OpenAI - GPT-35-turbo-4k-Prompt Tokens,AAN-83432,b4faf8db-09f1-548c-8545-a574f3b55190,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-4k-Prompt Tokens,49,0.010277,0.503573,0.010277,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/4b284c41-e536-4e77-a856-969f82433c73/resourceGroups/GPT/providers/Microsoft.CognitiveServices/accounts/eebbk-GPT-model,eebbk-GPT-model,,,,"""deployment"": ""GPT35-001""",,Unassigned,,1K,GPT,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-4k-Prompt,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,4b284c41-e536-4e77-a856-969f82433c73,openai-教育电子,11/16/2023,Azure OpenAI - GPT-35-turbo-4k-Completion Tokens,AAN-83431,5a67ca49-3dc8-50ac-aac5-cf28053d68d5,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-4k-Completion Tokens,18.735999999999997,0.013703,0.256739408,0.013703,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/4b284c41-e536-4e77-a856-969f82433c73/resourceGroups/GPT/providers/Microsoft.CognitiveServices/accounts/eebbk-GPT-model,eebbk-GPT-model,,,,"""deployment"": ""GPT35-001""",,Unassigned,,1K,GPT,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-4k-Completion,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,d3713cb6-28b4-47ee-a888-8ac0bf3ed52f,openai-手表事业部,11/16/2023,Azure OpenAI - GPT-35-turbo-4k-Prompt Tokens,AAN-83432,b4faf8db-09f1-548c-8545-a574f3b55190,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-4k-Prompt Tokens,359.8259999999999,0.010277,3.697931802,0.010277,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/d3713cb6-28b4-47ee-a888-8ac0bf3ed52f/resourceGroups/test/providers/Microsoft.CognitiveServices/accounts/watch-test,watch-test,,,,"""watch-test"": ""watch-test"",""deployment"": ""tc_gpt3_0613""",,Unassigned,,1K,test,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-4k-Prompt,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,492e41e9-7098-4775-9061-584fa29f77ee,openai-流程it,11/16/2023,Azure OpenAI - GPT4-8K-Prompt Tokens,AAN-79985,3fd3901c-261b-5daf-95f2-6d18415587f6,Compute,Cognitive Services,Azure OpenAI,,GPT4-8K-Prompt Tokens,9.994,0.20555,2.0542667,0.20555,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/492e41e9-7098-4775-9061-584fa29f77ee/resourceGroups/AI小助手/providers/Microsoft.CognitiveServices/accounts/ai-bot,ai-bot,,,,"""deployment"": ""chat-4""",,Unassigned,,1K,AI小助手,,,,,MS-AZR-0017P,True,,Microsoft,GPT4-8K-Prompt,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,4b284c41-e536-4e77-a856-969f82433c73,openai-教育电子,11/26/2023,Azure OpenAI - GPT4-8K-Completion Tokens,AAN-79987,98170d7e-2ab1-5bcc-8d37-7ad32684d80d,Compute,Cognitive Services,Azure OpenAI,,GPT4-8K-Completion Tokens,4.711,0.4111,1.9366921,0.4111,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/4b284c41-e536-4e77-a856-969f82433c73/resourceGroups/GPT/providers/Microsoft.CognitiveServices/accounts/eebbk-GPT-model,eebbk-GPT-model,,,,"""deployment"": ""GPT4-001""",,Unassigned,,1K,GPT,,,,,MS-AZR-0017P,True,,Microsoft,GPT4-8K-Completion,Usage,UsageBased,Azure
53209437,广东小天才科技有限公司,11/01/2023,11/30/2023,53209437,广东小天才科技有限公司,wangqian@eebbkxtc.onmicrosoft.com,汪启安,4b284c41-e536-4e77-a856-969f82433c73,openai-教育电子,11/26/2023,Azure OpenAI - GPT-35-turbo-4k-Completion Tokens,AAN-83431,5a67ca49-3dc8-50ac-aac5-cf28053d68d5,Compute,Cognitive Services,Azure OpenAI,,GPT-35-turbo-4k-Completion Tokens,1.185,0.013703,0.016238055,0.013703,CNY,EastUS,,Microsoft.CognitiveServices,/subscriptions/4b284c41-e536-4e77-a856-969f82433c73/resourceGroups/GPT/providers/Microsoft.CognitiveServices/accounts/eebbk-GPT-model,eebbk-GPT-model,,,,"""deployment"": ""GPT35-001""",,Unassigned,,1K,GPT,,,,,MS-AZR-0017P,True,,Microsoft,GPT-35-turbo-4k-Completion,Usage,UsageBased,Azure
